sample_id,family,primary_category,category_tags,model,attack,top20_iou,center_of_mass_shift,target_layer
05_allaple_a_pgd,Allaple.A,A_defense_recovers,A_defense_recovers;C_strong_family,baseline,fgsm,0.10448418156808803,0.08468353183912158,model.features[-1] (final MobileNetV3 convolutional feature block)
05_allaple_a_pgd,Allaple.A,A_defense_recovers,A_defense_recovers;C_strong_family,baseline,pgd,0.10601719197707736,0.12802178705782585,model.features[-1] (final MobileNetV3 convolutional feature block)
05_allaple_a_pgd,Allaple.A,A_defense_recovers,A_defense_recovers;C_strong_family,defense,fgsm,0.04306269804166017,0.10901256310957505,model.features[-1] (final MobileNetV3 convolutional feature block)
05_allaple_a_pgd,Allaple.A,A_defense_recovers,A_defense_recovers;C_strong_family,defense,pgd,0.11165236645446996,0.08097097983528292,model.features[-1] (final MobileNetV3 convolutional feature block)
01_dontovo_a_pgd,Dontovo.A,A_defense_recovers,A_defense_recovers;C_strong_family;D_weak_family,baseline,fgsm,0.03763440860215054,0.17858216060824084,model.features[-1] (final MobileNetV3 convolutional feature block)
01_dontovo_a_pgd,Dontovo.A,A_defense_recovers,A_defense_recovers;C_strong_family;D_weak_family,baseline,pgd,0.09025251153950584,0.0605737699500222,model.features[-1] (final MobileNetV3 convolutional feature block)
01_dontovo_a_pgd,Dontovo.A,A_defense_recovers,A_defense_recovers;C_strong_family;D_weak_family,defense,fgsm,0.45322907616565306,0.07426410483022047,model.features[-1] (final MobileNetV3 convolutional feature block)
01_dontovo_a_pgd,Dontovo.A,A_defense_recovers,A_defense_recovers;C_strong_family;D_weak_family,defense,pgd,0.41064024175978636,0.05167016538936,model.features[-1] (final MobileNetV3 convolutional feature block)
11_c2lop_p_pgd,C2LOP.P,B_defense_still_fails,B_defense_still_fails;D_weak_family,baseline,fgsm,0.04318902343953017,0.14949924615343504,model.features[-1] (final MobileNetV3 convolutional feature block)
11_c2lop_p_pgd,C2LOP.P,B_defense_still_fails,B_defense_still_fails;D_weak_family,baseline,pgd,0.07751771526733948,0.14985611378959865,model.features[-1] (final MobileNetV3 convolutional feature block)
11_c2lop_p_pgd,C2LOP.P,B_defense_still_fails,B_defense_still_fails;D_weak_family,defense,fgsm,0.0,0.14435518880154258,model.features[-1] (final MobileNetV3 convolutional feature block)
11_c2lop_p_pgd,C2LOP.P,B_defense_still_fails,B_defense_still_fails;D_weak_family,defense,pgd,0.0,0.08993746395026857,model.features[-1] (final MobileNetV3 convolutional feature block)
