allowed_for_evaluation,card_path,claim_boundary,clean_prediction,detector,sample_id,transformation,transformed_prediction,validation_level,verdict
True,append_eval/cards/append_overlay/d543427bfa0b28c57d13389d55dadb483436e081b7eb50893a06b0af25d3542a.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d543427bfa0b28c57d13389d55dadb483436e081b7eb50893a06b0af25d3542a,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d591c1fa5490022d011d0babc427cfc0576c56c153d48b3c8d55e25296a16660.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d591c1fa5490022d011d0babc427cfc0576c56c153d48b3c8d55e25296a16660,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d5fd9c5ec6349c8c55cbad05095b97ee2939f24a45e40fa69b89cbc85f528215.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d5fd9c5ec6349c8c55cbad05095b97ee2939f24a45e40fa69b89cbc85f528215,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d6d811768d315ac1fafcb356b040f522375192510a93ef94a5cfb22001a6de61.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d6d811768d315ac1fafcb356b040f522375192510a93ef94a5cfb22001a6de61,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d76eb2510b4bbf54ceb93ff113fd6ee98cc04874fcea256105d0a2fd33834f4e.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d76eb2510b4bbf54ceb93ff113fd6ee98cc04874fcea256105d0a2fd33834f4e,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d76f35dd028617533d4e2a9ef21b0866f0d623f9e14943d9850a8e0bad1863fd.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d76f35dd028617533d4e2a9ef21b0866f0d623f9e14943d9850a8e0bad1863fd,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d8096208ad820e5c35ffb8c934679b5281f2b457c0500dd8dbc591a8950ece30.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8096208ad820e5c35ffb8c934679b5281f2b457c0500dd8dbc591a8950ece30,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d80db3ebf5c6420edb0f41a019add4a61a877e21e2a709325ca6774efff188ce.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d80db3ebf5c6420edb0f41a019add4a61a877e21e2a709325ca6774efff188ce,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d81e5b564486696af44002be990d6cec01e6f05912e88524690e8b94f49ac27e.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d81e5b564486696af44002be990d6cec01e6f05912e88524690e8b94f49ac27e,append_overlay,malware,2,detector_stable
